{'use_physical': True, 'iter_num': 20000, 'train_batch_size': 4, 'last_iter': 0, 'lr': 0.0002, 'lr_decay': 0.9, 'weight_decay': 2e-05, 'momentum': 0.9, 'snapshot': '', 'val_freq': 1000, 'crop_size': 512}

[iter 73], [train loss 0.47183], [loss_x_fusion 0.08719], [loss_x_j1 0.08375], [loss_x_j2 0.10473], [loss_x_j3 0.10783], [loss_x_j4 0.08833], [lr 0.0001993518832]
[iter 74], [train loss 0.53500], [loss_x_fusion 0.10014], [loss_x_j1 0.09799], [loss_x_j2 0.11909], [loss_x_j3 0.11662], [loss_x_j4 0.10116], [lr 0.0001993428799]
[iter 75], [train loss 0.54811], [loss_x_fusion 0.10214], [loss_x_j1 0.09866], [loss_x_j2 0.12230], [loss_x_j3 0.12281], [loss_x_j4 0.10221], [lr 0.0001993338766]
[iter 76], [train loss 0.57156], [loss_x_fusion 0.10524], [loss_x_j1 0.10448], [loss_x_j2 0.12540], [loss_x_j3 0.12763], [loss_x_j4 0.10881], [lr 0.0001993248733]
[iter 77], [train loss 0.59316], [loss_x_fusion 0.10985], [loss_x_j1 0.10830], [loss_x_j2 0.12750], [loss_x_j3 0.13422], [loss_x_j4 0.11330], [lr 0.0001993158699]
[iter 78], [train loss 0.56989], [loss_x_fusion 0.10545], [loss_x_j1 0.10522], [loss_x_j2 0.12334], [loss_x_j3 0.12819], [loss_x_j4 0.10768], [lr 0.0001993068664]
[iter 79], [train loss 0.55728], [loss_x_fusion 0.10306], [loss_x_j1 0.10250], [loss_x_j2 0.12109], [loss_x_j3 0.12594], [loss_x_j4 0.10469], [lr 0.0001992978629]
[iter 80], [train loss 0.57279], [loss_x_fusion 0.10609], [loss_x_j1 0.10527], [loss_x_j2 0.12493], [loss_x_j3 0.12915], [loss_x_j4 0.10736], [lr 0.0001992888594]
[iter 81], [train loss 0.52043], [loss_x_fusion 0.09755], [loss_x_j1 0.09494], [loss_x_j2 0.11902], [loss_x_j3 0.11806], [loss_x_j4 0.09086], [lr 0.0001992798558]
[iter 82], [train loss 0.45909], [loss_x_fusion 0.08518], [loss_x_j1 0.08297], [loss_x_j2 0.10443], [loss_x_j3 0.10489], [loss_x_j4 0.08162], [lr 0.0001992708522]
[iter 83], [train loss 0.59200], [loss_x_fusion 0.11653], [loss_x_j1 0.11704], [loss_x_j2 0.11946], [loss_x_j3 0.12144], [loss_x_j4 0.11753], [lr 0.0001992618485]
[iter 84], [train loss 0.59728], [loss_x_fusion 0.11580], [loss_x_j1 0.11782], [loss_x_j2 0.12225], [loss_x_j3 0.12258], [loss_x_j4 0.11883], [lr 0.0001992528448]
[iter 85], [train loss 0.57749], [loss_x_fusion 0.11248], [loss_x_j1 0.11655], [loss_x_j2 0.11630], [loss_x_j3 0.11694], [loss_x_j4 0.11522], [lr 0.0001992438410]
[iter 86], [train loss 0.55786], [loss_x_fusion 0.10770], [loss_x_j1 0.11054], [loss_x_j2 0.11392], [loss_x_j3 0.11393], [loss_x_j4 0.11176], [lr 0.0001992348372]
[iter 87], [train loss 0.59217], [loss_x_fusion 0.11242], [loss_x_j1 0.11338], [loss_x_j2 0.12567], [loss_x_j3 0.12487], [loss_x_j4 0.11582], [lr 0.0001992258333]
[iter 88], [train loss 0.58093], [loss_x_fusion 0.11022], [loss_x_j1 0.11064], [loss_x_j2 0.12420], [loss_x_j3 0.12237], [loss_x_j4 0.11350], [lr 0.0001992168294]
[iter 89], [train loss 0.54698], [loss_x_fusion 0.10168], [loss_x_j1 0.09573], [loss_x_j2 0.12925], [loss_x_j3 0.11755], [loss_x_j4 0.10278], [lr 0.0001992078255]
[iter 90], [train loss 0.69374], [loss_x_fusion 0.13246], [loss_x_j1 0.13102], [loss_x_j2 0.15285], [loss_x_j3 0.14281], [loss_x_j4 0.13459], [lr 0.0001991988215]
[iter 91], [train loss 0.65602], [loss_x_fusion 0.12760], [loss_x_j1 0.12909], [loss_x_j2 0.13392], [loss_x_j3 0.13245], [loss_x_j4 0.13297], [lr 0.0001991898174]
[iter 92], [train loss 0.62914], [loss_x_fusion 0.11908], [loss_x_j1 0.12067], [loss_x_j2 0.12911], [loss_x_j3 0.13468], [loss_x_j4 0.12561], [lr 0.0001991808134]
[iter 93], [train loss 0.61841], [loss_x_fusion 0.11716], [loss_x_j1 0.11805], [loss_x_j2 0.12649], [loss_x_j3 0.13273], [loss_x_j4 0.12398], [lr 0.0001991718092]
[iter 94], [train loss 0.60957], [loss_x_fusion 0.11409], [loss_x_j1 0.11325], [loss_x_j2 0.13025], [loss_x_j3 0.13394], [loss_x_j4 0.11804], [lr 0.0001991628051]
[iter 95], [train loss 0.59032], [loss_x_fusion 0.11016], [loss_x_j1 0.10916], [loss_x_j2 0.12643], [loss_x_j3 0.13040], [loss_x_j4 0.11418], [lr 0.0001991538008]
[iter 96], [train loss 0.57871], [loss_x_fusion 0.10783], [loss_x_j1 0.10694], [loss_x_j2 0.12460], [loss_x_j3 0.12788], [loss_x_j4 0.11145], [lr 0.0001991447966]
[iter 97], [train loss 0.48784], [loss_x_fusion 0.08004], [loss_x_j1 0.08465], [loss_x_j2 0.11879], [loss_x_j3 0.11992], [loss_x_j4 0.08444], [lr 0.0001991357923]
[iter 98], [train loss 0.54474], [loss_x_fusion 0.09757], [loss_x_j1 0.09892], [loss_x_j2 0.12276], [loss_x_j3 0.12278], [loss_x_j4 0.10271], [lr 0.0001991267879]
[iter 99], [train loss 0.56966], [loss_x_fusion 0.10199], [loss_x_j1 0.09992], [loss_x_j2 0.13206], [loss_x_j3 0.13098], [loss_x_j4 0.10470], [lr 0.0001991177835]
[iter 100], [train loss 0.61693], [loss_x_fusion 0.11238], [loss_x_j1 0.10960], [loss_x_j2 0.14079], [loss_x_j3 0.14016], [loss_x_j4 0.11399], [lr 0.0001991087791]
[iter 101], [train loss 0.60362], [loss_x_fusion 0.11123], [loss_x_j1 0.11083], [loss_x_j2 0.13413], [loss_x_j3 0.13408], [loss_x_j4 0.11336], [lr 0.0001990997746]
[iter 102], [train loss 0.56819], [loss_x_fusion 0.10436], [loss_x_j1 0.10523], [loss_x_j2 0.12603], [loss_x_j3 0.12473], [loss_x_j4 0.10785], [lr 0.0001990907701]
[iter 103], [train loss 0.55565], [loss_x_fusion 0.10234], [loss_x_j1 0.10296], [loss_x_j2 0.12270], [loss_x_j3 0.12192], [loss_x_j4 0.10572], [lr 0.0001990817655]
[iter 104], [train loss 0.59235], [loss_x_fusion 0.11127], [loss_x_j1 0.11508], [loss_x_j2 0.12512], [loss_x_j3 0.12511], [loss_x_j4 0.11579], [lr 0.0001990727608]
[iter 105], [train loss 0.51790], [loss_x_fusion 0.10139], [loss_x_j1 0.11208], [loss_x_j2 0.09618], [loss_x_j3 0.09819], [loss_x_j4 0.11007], [lr 0.0001990637562]
[iter 106], [train loss 0.67332], [loss_x_fusion 0.12550], [loss_x_j1 0.12690], [loss_x_j2 0.14446], [loss_x_j3 0.14824], [loss_x_j4 0.12822], [lr 0.0001990547515]
[iter 107], [train loss 0.61167], [loss_x_fusion 0.11328], [loss_x_j1 0.11337], [loss_x_j2 0.13360], [loss_x_j3 0.13707], [loss_x_j4 0.11436], [lr 0.0001990457467]
[iter 108], [train loss 0.55967], [loss_x_fusion 0.10459], [loss_x_j1 0.10569], [loss_x_j2 0.12081], [loss_x_j3 0.12295], [loss_x_j4 0.10562], [lr 0.0001990367419]
[iter 109], [train loss 0.54418], [loss_x_fusion 0.10153], [loss_x_j1 0.10297], [loss_x_j2 0.11770], [loss_x_j3 0.11954], [loss_x_j4 0.10244], [lr 0.0001990277370]
[iter 110], [train loss 0.55155], [loss_x_fusion 0.10270], [loss_x_j1 0.10378], [loss_x_j2 0.11977], [loss_x_j3 0.12167], [loss_x_j4 0.10363], [lr 0.0001990187321]
[iter 111], [train loss 0.56313], [loss_x_fusion 0.10504], [loss_x_j1 0.10558], [loss_x_j2 0.12248], [loss_x_j3 0.12439], [loss_x_j4 0.10565], [lr 0.0001990097272]
[iter 112], [train loss 0.55267], [loss_x_fusion 0.10385], [loss_x_j1 0.10458], [loss_x_j2 0.11896], [loss_x_j3 0.12078], [loss_x_j4 0.10449], [lr 0.0001990007222]
[iter 113], [train loss 0.58969], [loss_x_fusion 0.11176], [loss_x_j1 0.11178], [loss_x_j2 0.12670], [loss_x_j3 0.12877], [loss_x_j4 0.11067], [lr 0.0001989917172]
[iter 114], [train loss 0.66412], [loss_x_fusion 0.12930], [loss_x_j1 0.13145], [loss_x_j2 0.13602], [loss_x_j3 0.13672], [loss_x_j4 0.13063], [lr 0.0001989827121]
[iter 115], [train loss 0.60042], [loss_x_fusion 0.11552], [loss_x_j1 0.11663], [loss_x_j2 0.12398], [loss_x_j3 0.12708], [loss_x_j4 0.11721], [lr 0.0001989737070]
[iter 116], [train loss 0.57692], [loss_x_fusion 0.10977], [loss_x_j1 0.10965], [loss_x_j2 0.12083], [loss_x_j3 0.12477], [loss_x_j4 0.11190], [lr 0.0001989647018]
[iter 117], [train loss 0.57867], [loss_x_fusion 0.10991], [loss_x_j1 0.10961], [loss_x_j2 0.12143], [loss_x_j3 0.12538], [loss_x_j4 0.11234], [lr 0.0001989556966]
[iter 118], [train loss 0.55932], [loss_x_fusion 0.10473], [loss_x_j1 0.10426], [loss_x_j2 0.11966], [loss_x_j3 0.12373], [loss_x_j4 0.10693], [lr 0.0001989466913]
[iter 119], [train loss 0.59050], [loss_x_fusion 0.10870], [loss_x_j1 0.10753], [loss_x_j2 0.13128], [loss_x_j3 0.13349], [loss_x_j4 0.10950], [lr 0.0001989376860]
[iter 120], [train loss 0.57807], [loss_x_fusion 0.10597], [loss_x_j1 0.10504], [loss_x_j2 0.12984], [loss_x_j3 0.13082], [loss_x_j4 0.10641], [lr 0.0001989286807]
[iter 121], [train loss 0.46907], [loss_x_fusion 0.08159], [loss_x_j1 0.08008], [loss_x_j2 0.11218], [loss_x_j3 0.11661], [loss_x_j4 0.07862], [lr 0.0001989196753]
[iter 122], [train loss 0.53001], [loss_x_fusion 0.09527], [loss_x_j1 0.09509], [loss_x_j2 0.12127], [loss_x_j3 0.12360], [loss_x_j4 0.09477], [lr 0.0001989106698]
[iter 123], [train loss 0.52723], [loss_x_fusion 0.09587], [loss_x_j1 0.09739], [loss_x_j2 0.11862], [loss_x_j3 0.12122], [loss_x_j4 0.09413], [lr 0.0001989016644]
